BGC,BGC_km2
BAFAun,60746.2912979569
BAFAunp,1607.09574759393
BGxh1,240.619866984084
BGxh2,642.570149044551
BGxh3,375.902593189524
BGxw1,632.973983707425
BGxw2,550.420921942509
BWBSdk,29472.0021261434
BWBSmk,96454.5611533936
BWBSmw,29006.3809118408
BWBSvk,774.606655696544
BWBSwk1,3293.93346889421
BWBSwk2,3532.73237454821
BWBSwk3,1507.22305977564
CDFmm,0
CMAun,14445.0971639153
CMAunp,21242.3804868809
CMAwh,28.8749908685094
CWHdm,6402.65315957846
CWHds1,2621.30010024144
CWHds2,816.584283611281
CWHmm1,1506.02949503061
CWHmm2,2279.47791134321
CWHms1,5143.22614767635
CWHms2,1744.21713620752
CWHvh1,16721.3611435814
CWHvh2,59938.6740938258
CWHvh3,12687.3880187082
CWHvm1,26984.2985035033
CWHvm2,16076.1906608454
CWHwh1,14616.2161520808
CWHwh2,696.323856049433
CWHwm,3438.34917423882
CWHws1,2558.59464724874
CWHws2,6445.111725202
CWHxm1,6199.25753171444
CWHxm2,5832.1623180852
ESSFdc1,1572.96081706132
ESSFdc2,2042.14765926571
ESSFdc3,1253.82824113394
ESSFdcp,108.810149120083
ESSFdcw,626.640529266143
ESSFdh1,329.409495059173
ESSFdh2,254.176862452328
ESSFdk1,3136.20847418516
ESSFdk2,4050.6706538572
ESSFdkp,1778.10870732386
ESSFdkw,3011.63945317091
ESSFdv1,730.796292187142
ESSFdv2,447.718398565446
ESSFdvp,1171.50090465494
ESSFdvw,707.732588092559
ESSFmc,9089.60670767785
ESSFmcp,2219.92016006435
ESSFmcw,3245.6299094904
ESSFmh,1657.19886207698
ESSFmk,1475.73130534044
ESSFmkp,525.202275023866
ESSFmkw,521.988866192005
ESSFmm1,2958.39861672237
ESSFmm2,278.613427229449
ESSFmm3,1319.34494742983
ESSFmmp,4221.90442981152
ESSFmmw,820.462248823272
ESSFmv1,1947.76137014264
ESSFmv2,5739.8493585315
ESSFmv3,13981.3467929985
ESSFmv4,7894.81435720216
ESSFmvp,5074.59618163861
ESSFmw,1212.66563082451
ESSFmw1,1342.10898997757
ESSFmw2,1098.51380795967
ESSFmwp,690.419455028307
ESSFmww,759.955629396549
ESSFun,6675.29960637007
ESSFunp,4160.79325470908
ESSFvc,2419.22152903533
ESSFvcp,1493.2193488639
ESSFvcw,1413.40362219532
ESSFwc2,6184.40094239236
ESSFwc3,8721.12833894132
ESSFwc4,3515.38641088289
ESSFwcp,8263.84190279408
ESSFwcw,5659.27132594595
ESSFwh1,2202.0832016252
ESSFwh2,476.251649434268
ESSFwh3,874.540754325303
ESSFwk1,5139.06434024897
ESSFwk2,5875.21652577094
ESSFwm1,688.207298577879
ESSFwm2,1009.9423100827
ESSFwm3,729.787451914075
ESSFwm4,1620.60304499537
ESSFwmp,736.383190308199
ESSFwmw,1483.73811098798
ESSFwv,5426.52161376844
ESSFwvp,2046.42400784086
ESSFwvw,1860.28805122164
ESSFxc1,862.412493594497
ESSFxc2,646.527980730053
ESSFxc3,489.80652425638
ESSFxcp,140.517188188088
ESSFxcw,296.939580382811
ESSFxv1,2928.21328745046
ESSFxv2,945.210676045343
ESSFxvp,1799.36356895739
ESSFxvw,72.1207343221422
ICHdk,350.756176130416
ICHdm,1827.24523765196
ICHdw1,3755.01573580402
ICHdw3,1388.24839318637
ICHdw4,1316.13289023565
ICHmc1,4795.61679319823
ICHmc1a,216.797493712122
ICHmc2,3185.47959578133
ICHmk1,1340.37221466311
ICHmk2,888.24111409596
ICHmk3,1071.66084836975
ICHmk4,691.049382568275
ICHmk5,843.600086088124
ICHmm,1526.58644358806
ICHmw1,1407.13201632001
ICHmw2,4988.99638651087
ICHmw3,3543.64825662393
ICHmw4,1015.11092408108
ICHmw5,2319.04874186139
ICHvc,2029.61128725881
ICHvk1,2521.05160837507
ICHvk2,1320.20642345417
ICHwc,1112.08801008444
ICHwk1,6035.5936679466
ICHwk2,2038.38348385285
ICHwk3,943.483701503481
ICHwk4,1424.91500197237
ICHxm1,1534.71804473791
ICHxw,1313.44567778779
ICHxwa,185.958549462125
IDFdc,721.258351082763
IDFdh,297.721348829234
IDFdk1,5098.35649913043
IDFdk2,2948.43377406147
IDFdk3,10024.1085729272
IDFdk4,3729.15762446812
IDFdk5,769.230996698088
IDFdm1,1347.08875451608
IDFdm2,2154.69625343835
IDFdw,1114.97507241012
IDFmw2,2026.89174738095
IDFww,1224.62181225577
IDFww1,125.562261740267
IDFxc,585.345518724316
IDFxh1,2392.54295816608
IDFxh2,3800.45145767534
IDFxk,381.160697855604
IDFxm,2589.22707052381
IDFxw,443.200280608765
IDFxx1,114.407300309701
IDFxx2,908.990282605335
IMAun,11389.8577593872
IMAunp,903.981807220769
MHmm1,14397.9772790174
MHmm2,15442.164080759
MHmmp,9199.61758118925
MHun,55.6819613660339
MHunp,614.44603543739
MHwh,306.312475829171
MHwh1,875.601707302853
MHwhp,405.953254690721
MSdc1,336.330692882307
MSdc2,575.155411047348
MSdc3,238.35148021268
MSdk,3200.6458807526
MSdm1,3126.8370992861
MSdm2,2923.50285788272
MSdm3,1109.84667343786
MSdv,282.811490443901
MSdw,2741.34204803213
MSxk1,1696.14726834318
MSxk2,2408.85967713894
MSxk3,977.873314255324
MSxv,8789.05396507193
PPxh1,1527.67035968712
PPxh2,1422.54224184567
SBPSdc,4053.82489161986
SBPSmc,3164.76482140349
SBPSmk,4081.54616952482
SBPSxc,11353.5225591465
SBSdh1,682.013258720915
SBSdh2,202.663080341074
SBSdk,10348.7357892671
SBSdw1,3992.99913436943
SBSdw2,5286.09079824843
SBSdw3,9717.43527982801
SBSmc1,516.713562915767
SBSmc2,22309.1821549863
SBSmc3,2613.35199521946
SBSmh,1082.91980503398
SBSmk1,13975.7705294651
SBSmk2,3909.18912305821
SBSmm,707.207401283838
SBSmw,2193.88396241181
SBSun,2983.29762307653
SBSvk,5036.10993607469
SBSwk1,7857.38281050369
SBSwk2,5090.82059823939
SBSwk3,4447.54680414559
SBSwk3a,441.996226220671
SWBmk,41971.8257347594
SWBmks,16272.4212165596
SWBun,15702.8004605358
SWBuns,9843.0218717543
SWBvk,1441.11817779913
SWBvks,1326.25090653163
