parkname,park_type,park_class,BGC,park_bgc_km2,park_area_tot,park_bgc_ratio
Glacier National Park of Canada,national,national,ESSFwc4,0,1356.04889719744,0
Glacier National Park of Canada,national,national,ESSFwh1,17.1690871285779,1356.04889719744,0.012661112120707
Glacier National Park of Canada,national,national,ICHwk1,209.418759582548,1356.04889719744,0.154433044424398
Glacier National Park of Canada,national,national,ESSFmm3,112.440995400242,1356.04889719744,0.082918098036601
Glacier National Park of Canada,national,national,ESSFvcp,103.7933678938,1356.04889719744,0.0765410215725336
Glacier National Park of Canada,national,national,ESSFvcw,74.6394219471758,1356.04889719744,0.0550418366929349
Glacier National Park of Canada,national,national,ESSFvc,129.650142095597,1356.04889719744,0.0956087515454248
Glacier National Park of Canada,national,national,ESSFmmw,72.5052786783884,1356.04889719744,0.0534680414756694
Glacier National Park of Canada,national,national,ICHmw1,12.2815675443457,1356.04889719744,0.00905687661390981
Glacier National Park of Canada,national,national,IMAun,269.348801747396,1356.04889719744,0.198627647059086
Glacier National Park of Canada,national,national,ESSFwcw,61.2064793554321,1356.04889719744,0.0451358940536202
Glacier National Park of Canada,national,national,ICHvk1,33.9994411258247,1356.04889719744,0.0250724300547655
Glacier National Park of Canada,national,national,ESSFwc2,131.241818655884,1356.04889719744,0.0967825119928369
Glacier National Park of Canada,national,national,ESSFmmp,66.9593746995056,1356.04889719744,0.0493782892622023
Glacier National Park of Canada,national,national,ESSFwcp,61.3943613427211,1356.04889719744,0.04527444509531
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,CMAwh,4.08552714622573,1282.74558002428,0.00318498633700098
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,MHwh,27.1558284994578,1282.74558002428,0.0211700815207204
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,CWHwh2,55.1076440828274,1282.74558002428,0.0429606969152716
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,CWHvh3,957.691709699063,1282.74558002428,0.746595213121635
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,CWHwh1,228.20507270792,1282.74558002428,0.177903612580447
Gwaii Haanas National Park Reserve and Haida Heritage Site,national,national,MHwhp,10.499797888787,1282.74558002428,0.00818540952492566
Kootenay National Park of Canada,national,national,ESSFdkw,156.289851662969,1386.59991592018,0.112714453440054
Kootenay National Park of Canada,national,national,ESSFdkp,103.093055069847,1386.59991592018,0.0743495321802552
Kootenay National Park of Canada,national,national,IDFxk,0.373072738213115,1386.59991592018,0.000269055791746197
Kootenay National Park of Canada,national,national,ESSFdk2,323.851483284159,1386.59991592018,0.233557985663978
Kootenay National Park of Canada,national,national,MSdk,423.849040425861,1386.59991592018,0.305675080143492
Kootenay National Park of Canada,national,national,IDFdk5,5.0869384148494,1386.59991592018,0.00366864180247233
Kootenay National Park of Canada,national,national,ICHmk5,8.95623576610053,1386.59991592018,0.0064591347967571
Kootenay National Park of Canada,national,national,ESSFmm3,83.7921780259296,1386.59991592018,0.0604299604117047
