BGC,BGC_km2,bgc_protected,bgc_protected_ratio
BAFAun,60746.2912979569,16532.244,0.272152318219895
BAFAunp,1607.09574759393,1310.765,0.815611018797366
BGxh1,240.619866984084,5.485,0.0227952914642863
BGxh2,642.570149044551,30.474,0.0474251722482165
BGxh3,375.902593189524,72.583,0.19308991561919
BGxw1,632.973983707425,49.387,0.0780237438997616
BGxw2,550.420921942509,126.316,0.229489823087055
BWBSdk,29472.0021261434,7498.927,0.254442401568233
BWBSmk,96454.5611533936,2742.351,0.0284315326015406
BWBSmw,29006.3809118408,218.517,0.00753341137814261
BWBSvk,774.606655696544,774.607,1.00000044448812
BWBSwk1,3293.93346889421,252.778,0.076740469225342
BWBSwk2,3532.73237454821,43.211,0.0122316086866122
BWBSwk3,1507.22305977564,16.865,0.0111894519464892
CDFmm,0,187.006,Inf
CMAun,14445.0971639153,1282.956,0.0888160173269654
CMAunp,21242.3804868809,2331.998,0.109780445813981
CMAwh,28.8749908685094,4.086,0.141506538256818
CWHdm,6402.65315957846,299.688,0.0468068459325588
CWHds1,2621.30010024144,176.153,0.0672006230739377
CWHds2,816.584283611281,170.366,0.208632474833546
CWHmm1,1506.02949503061,147.875,0.0981886480231215
CWHmm2,2279.47791134321,304.935,0.133774053471882
CWHms1,5143.22614767635,752.774,0.146362220595743
CWHms2,1744.21713620752,,
CWHvh1,16721.3611435814,1733.269,0.103655975438658
CWHvh2,59938.6740938258,285.803,0.00476825696131707
CWHvh3,12687.3880187082,1042.306,0.0821529221351997
CWHvm1,26984.2985035033,1419.309,0.0525975874383295
CWHvm2,16076.1906608454,1162.21,0.0722938676530279
CWHwh1,14616.2161520808,937.131,0.0641158416274918
CWHwh2,696.323856049433,55.124,0.0791643134456773
CWHwm,3438.34917423882,247.744,0.0720531823399947
CWHws1,2558.59464724874,31.622,0.0123591284903231
CWHws2,6445.111725202,150.85,0.023405335148829
CWHxm1,6199.25753171444,139.188,0.0224523661564205
CWHxm2,5832.1623180852,273.658,0.0469222194230435
ESSFdc1,1572.96081706132,247.109,0.157098000992587
ESSFdc2,2042.14765926571,93.131,0.0456044398050467
ESSFdc3,1253.82824113394,38.373,0.0306046703536492
ESSFdcp,108.810149120083,54.839,0.503987913291798
ESSFdcw,626.640529266143,245.259,0.391387068894542
ESSFdh1,329.409495059173,89.335,0.271197404264113
ESSFdh2,254.176862452328,72.898,0.286800298409035
ESSFdk1,3136.20847418516,138.294,0.0440959206437739
ESSFdk2,4050.6706538572,1029.668,0.254196918976741
ESSFdkp,1778.10870732386,534.71,0.300718396911044
ESSFdkw,3011.63945317091,752.343,0.249811775844505
ESSFdv1,730.796292187142,194.794,0.266550339790336
ESSFdv2,447.718398565446,115.266,0.257452006371257
ESSFdvp,1171.50090465494,252.485,0.215522667542769
ESSFdvw,707.732588092559,165.811,0.234284817160793
ESSFmc,9089.60670767785,2261.829,0.248836838901893
ESSFmcp,2219.92016006435,391.346,0.176288322003732
ESSFmcw,3245.6299094904,773.742,0.238395017786081
ESSFmh,1657.19886207698,181.018,0.10923130840986
ESSFmk,1475.73130534044,641.413,0.434640776189288
ESSFmkp,525.202275023866,184.288,0.350889569150525
ESSFmkw,521.988866192005,201.343,0.385722786520009
ESSFmm1,2958.39861672237,415.348,0.140396225732476
ESSFmm2,278.613427229449,278.614,1.00000205578947
ESSFmm3,1319.34494742983,464.419,0.352007260045766
ESSFmmp,4221.90442981152,1051.83,0.249136383233326
ESSFmmw,820.462248823272,305.552,0.372414453484277
ESSFmv1,1947.76137014264,139.134,0.0714327751503824
ESSFmv2,5739.8493585315,743.432,0.129521169208908
ESSFmv3,13981.3467929985,998.827,0.0714399703253328
ESSFmv4,7894.81435720216,810.331,0.102640918878702
ESSFmvp,5074.59618163861,639.944,0.126107374280442
ESSFmw,1212.66563082451,745.235,0.614542855884605
ESSFmw1,1342.10898997757,367.753,0.274011278328555
ESSFmw2,1098.51380795967,185.779,0.169118493235017
ESSFmwp,690.419455028307,255.25,0.36970279174641
ESSFmww,759.955629396549,238.096,0.31330250186983
ESSFun,6675.29960637007,371.65,0.0556754036396125
ESSFunp,4160.79325470908,434.545,0.104438017800618
ESSFvc,2419.22152903533,241.315,0.0997490296377384
ESSFvcp,1493.2193488639,162.542,0.108853397944293
ESSFvcw,1413.40362219532,131.337,0.0929225013559859
ESSFwc2,6184.40094239236,1347.66,0.217912779678006
ESSFwc3,8721.12833894132,1375.884,0.157764448191462
ESSFwc4,3515.38641088289,403.969,0.114914536492887
ESSFwcp,8263.84190279408,2068.326,0.250286249946369
ESSFwcw,5659.27132594595,1424.238,0.251664555023246
ESSFwh1,2202.0832016252,217.652,0.0988391355237471
ESSFwh2,476.251649434268,149.156,0.313187366757008
ESSFwh3,874.540754325303,74.717,0.0854356982570163
ESSFwk1,5139.06434024897,698.457,0.135911316488044
ESSFwk2,5875.21652577094,468.223,0.0796945947347124
ESSFwm1,688.207298577879,5.044,0.00732918702028152
ESSFwm2,1009.9423100827,369.784,0.366143685939566
ESSFwm3,729.787451914075,96.65,0.132435820520767
ESSFwm4,1620.60304499537,68.643,0.0423564550319576
ESSFwmp,736.383190308199,299.97,0.407355849438189
ESSFwmw,1483.73811098798,361.575,0.243691927384164
ESSFwv,5426.52161376844,161.04,0.0296764689172897
ESSFwvp,2046.42400784086,76.639,0.0374502056789591
ESSFwvw,1860.28805122164,2.434,0.00130839952361227
ESSFxc1,862.412493594497,304.884,0.353524563088432
ESSFxc2,646.527980730053,104.977,0.162370389416806
ESSFxc3,489.80652425638,113.173,0.231056538439986
ESSFxcp,140.517188188088,88.833,0.632186006178073
ESSFxcw,296.939580382811,126.075,0.42458132337045
ESSFxv1,2928.21328745046,1186.327,0.405136813320355
ESSFxv2,945.210676045343,225.398,0.23846323969069
ESSFxvp,1799.36356895739,542.997,0.301771698264754
ESSFxvw,72.1207343221422,25.328,0.351188881228902
ICHdk,350.756176130416,6.55,0.0186739406052956
ICHdm,1827.24523765196,50.68,0.0277357406415379
ICHdw1,3755.01573580402,170.506,0.0454075327499237
ICHdw3,1388.24839318637,398.546,0.287085511466172
ICHdw4,1316.13289023565,34.639,0.0263187708908315
ICHmc1,4795.61679319823,369.719,0.0770951925358973
ICHmc1a,216.797493712122,,
ICHmc2,3185.47959578133,116.305,0.0365109857096645
ICHmk1,1340.37221466311,34.275,0.0255712552267541
ICHmk2,888.24111409596,6.605,0.00743604399208933
ICHmk3,1071.66084836975,4.9,0.00457234208700827
ICHmk4,691.049382568275,3.371,0.004878088433379
ICHmk5,843.600086088124,10.554,0.0125106672866052
ICHmm,1526.58644358806,80.814,0.0529377162619473
ICHmw1,1407.13201632001,26.272,0.0186706006936774
ICHmw2,4988.99638651087,377.779,0.075722444101469
ICHmw3,3543.64825662393,796.083,0.224650682671998
ICHmw4,1015.11092408108,34.27,0.0337598573584681
ICHmw5,2319.04874186139,193.538,0.0834557706814977
ICHvc,2029.61128725881,19.976,0.00984227872864245
ICHvk1,2521.05160837507,314.497,0.124748338731037
ICHvk2,1320.20642345417,227.085,0.172007192182763
ICHwc,1112.08801008444,5.024,0.00451762806040732
ICHwk1,6035.5936679466,1156.089,0.191545200622049
ICHwk2,2038.38348385285,245.954,0.120661299479875
ICHwk3,943.483701503481,105.85,0.112190597284642
ICHwk4,1424.91500197237,618.418,0.434003431182902
ICHxm1,1534.71804473791,41.139,0.0268055752267026
ICHxw,1313.44567778779,23.174,0.0176436683997708
ICHxwa,185.958549462125,34.903,0.187692365319879
IDFdc,721.258351082763,54.187,0.0751284195443335
IDFdh,297.721348829234,4.241,0.0142448635836073
IDFdk1,5098.35649913043,229.886,0.0450902168256004
IDFdk2,2948.43377406147,58.46,0.0198274760363606
IDFdk3,10024.1085729272,167.938,0.0167534099195176
IDFdk4,3729.15762446812,89.67,0.0240456448962222
IDFdk5,769.230996698088,5.653,0.00734889782687569
IDFdm1,1347.08875451608,39.574,0.0293774258506199
IDFdm2,2154.69625343835,13.248,0.0061484304244088
IDFdw,1114.97507241012,479.606,0.43014952698744
IDFmw2,2026.89174738095,76.537,0.0377607734102709
IDFww,1224.62181225577,393.527,0.321345737975317
IDFww1,125.562261740267,26.659,0.212316978290386
IDFxc,585.345518724316,60.908,0.104054781409689
IDFxh1,2392.54295816608,165.727,0.0692681397566346
IDFxh2,3800.45145767534,108.872,0.0286471229043391
IDFxk,381.160697855604,5.777,0.015156337031864
IDFxm,2589.22707052381,176.179,0.0680430859099424
IDFxw,443.200280608765,47.397,0.106942621820765
IDFxx1,114.407300309701,6.332,0.0553461184982012
IDFxx2,908.990282605335,6.962,0.00765904777336631
IMAun,11389.8577593872,3449.754,0.302879462841124
IMAunp,903.981807220769,93.192,0.103090570247771
MHmm1,14397.9772790174,2019.32,0.140250256051092
MHmm2,15442.164080759,1369.369,0.0886772730064589
MHmmp,9199.61758118925,478.796,0.052045206855012
MHun,55.6819613660339,12.231,0.219658210665347
MHunp,614.44603543739,30.936,0.0503477900674847
MHwh,306.312475829171,31.76,0.103684970434284
MHwh1,875.601707302853,13.7,0.0156463833792657
MHwhp,405.953254690721,18.802,0.046315677440065
MSdc1,336.330692882307,44.763,0.13309222425223
MSdc2,575.155411047348,237.64,0.4131752834721
MSdc3,238.35148021268,38.798,0.16277641726991
MSdk,3200.6458807526,797.393,0.249135027650263
MSdm1,3126.8370992861,47.97,0.0153413812350353
MSdm2,2923.50285788272,80.547,0.0275515379719294
MSdm3,1109.84667343786,42.525,0.038316103492273
MSdv,282.811490443901,73.231,0.258939266877228
MSdw,2741.34204803213,17.436,0.00636038834063645
MSxk1,1696.14726834318,104.293,0.0614881749636486
MSxk2,2408.85967713894,120.763,0.0501328496408861
MSxk3,977.873314255324,173.791,0.177723430496052
MSxv,8789.05396507193,729.204,0.0829672912349711
PPxh1,1527.67035968712,124.188,0.0812924065800653
PPxh2,1422.54224184567,42.818,0.0300996334171743
SBPSdc,4053.82489161986,251.918,0.0621432860903216
SBPSmc,3164.76482140349,1525.67,0.482080055264077
SBPSmk,4081.54616952482,,
SBPSxc,11353.5225591465,409.38,0.0360575317367208
SBSdh1,682.013258720915,16.657,0.0244232788541963
SBSdh2,202.663080341074,197.817,0.976087996230403
SBSdk,10348.7357892671,562.185,0.0543240267649943
SBSdw1,3992.99913436943,83.301,0.0208617625991935
SBSdw2,5286.09079824843,98.132,0.0185641911471737
SBSdw3,9717.43527982801,509.323,0.0524133153793451
SBSmc1,516.713562915767,,
SBSmc2,22309.1821549863,3128.477,0.140232706796056
SBSmc3,2613.35199521946,123.113,0.0471092299182076
SBSmh,1082.91980503398,15.233,0.014066600249796
SBSmk1,13975.7705294651,500.381,0.0358034642129425
SBSmk2,3909.18912305821,109.9,0.0281132471570022
SBSmm,707.207401283838,59.874,0.0846625754924326
SBSmw,2193.88396241181,9.373,0.00427233170057725
SBSun,2983.29762307653,165.273,0.0553994340764305
SBSvk,5036.10993607469,197.7,0.0392564901301765
SBSwk1,7857.38281050369,169.846,0.0216161034909679
SBSwk2,5090.82059823939,162.002,0.0318223745806377
SBSwk3,4447.54680414559,119.973,0.0269750955488928
SBSwk3a,441.996226220671,8.354,0.0189006138614161
SWBmk,41971.8257347594,10454.203,0.24907667982006
SWBmks,16272.4212165596,3702.673,0.227542843853623
SWBun,15702.8004605358,463.329,0.0295061381671655
SWBuns,9843.0218717543,680.982,0.0691842412698642
SWBvk,1441.11817779913,1441.118,0.999999876624185
SWBvks,1326.25090653163,1326.251,1.00000007047563
